,linha,origem,destino,paradas,preco,mes_voo,dia_voo,hora_partida,min_partida,horas_total_duracao,hora_chegada,min_chegada
0,IndiGo,Banglore,New Delhi,0,3897,3,24,22,20,2.8333333333333335,1,10
1,Air India,Kolkata,Banglore,2,7662,1,5,5,50,7.416666666666667,13,15
2,Jet Airways,Delhi,Cochin,2,13882,9,6,9,25,19.0,4,25
3,IndiGo,Kolkata,Banglore,1,6218,12,5,18,5,5.416666666666667,23,30
4,IndiGo,Banglore,New Delhi,1,13302,1,3,16,50,4.75,21,35
5,SpiceJet,Kolkata,Banglore,0,3873,6,24,9,0,2.4166666666666665,11,25
6,Jet Airways,Banglore,New Delhi,1,11087,12,3,18,55,15.5,10,25
7,Jet Airways,Banglore,New Delhi,1,22270,1,3,8,0,21.083333333333332,5,5
8,Jet Airways,Banglore,New Delhi,1,11087,12,3,8,55,25.5,10,25
9,Multiple carriers,Delhi,Cochin,1,8625,5,27,11,25,7.833333333333333,19,15
10,Air India,Delhi,Cochin,1,8907,1,6,9,45,13.25,23,0
11,IndiGo,Kolkata,Banglore,0,4174,4,18,20,20,2.5833333333333335,22,55
12,Air India,Chennai,Kolkata,0,4667,6,24,11,40,2.25,13,55
13,Jet Airways,Kolkata,Banglore,1,9663,9,5,21,10,12.166666666666666,9,20
14,IndiGo,Kolkata,Banglore,0,4804,4,24,17,15,2.5833333333333335,19,50
15,Air India,Delhi,Cochin,2,14011,3,3,16,40,26.583333333333332,19,15
16,SpiceJet,Delhi,Cochin,1,5830,4,15,8,45,4.5,13,15
17,Jet Airways,Delhi,Cochin,1,10262,12,6,14,0,22.583333333333332,12,35
18,Air India,Delhi,Cochin,2,13381,12,6,20,15,23.0,19,15
19,Jet Airways,Delhi,Cochin,1,12898,5,27,16,0,20.583333333333332,12,35
20,GoAir,Delhi,Cochin,1,19495,6,3,14,10,5.166666666666667,19,20
21,Air India,Banglore,New Delhi,1,6955,3,21,22,0,15.333333333333334,13,20
22,IndiGo,Banglore,Delhi,0,3943,3,4,4,0,2.8333333333333335,6,50
23,IndiGo,Banglore,Delhi,0,4823,1,5,18,55,2.9166666666666665,21,50
24,Jet Airways,Kolkata,Banglore,1,7757,6,5,18,55,13.333333333333334,8,15
25,Jet Airways,Delhi,Cochin,2,13292,9,6,21,25,15.166666666666666,12,35
26,IndiGo,Delhi,Cochin,1,8238,1,6,21,50,5.75,3,35
27,GoAir,Delhi,Cochin,1,7682,5,15,7,0,5.916666666666667,12,55
28,Vistara,Banglore,Delhi,0,4668,6,18,9,45,2.8333333333333335,12,35
29,Vistara,Chennai,Kolkata,0,3687,6,15,7,5,2.25,9,20
30,Vistara,Chennai,Kolkata,0,3687,6,18,7,5,2.25,9,20
31,Air India,Kolkata,Banglore,2,13227,1,5,9,50,13.416666666666666,23,15
32,IndiGo,Banglore,Delhi,0,4423,6,4,4,0,2.8333333333333335,6,50
33,Jet Airways,Delhi,Cochin,2,10919,6,15,14,35,22.0,12,35
34,Jet Airways,Delhi,Cochin,1,12373,5,18,7,5,5.5,12,35
35,IndiGo,Delhi,Cochin,1,5894,6,27,10,35,10.416666666666666,21,0
36,SpiceJet,Kolkata,Banglore,1,4649,5,21,15,5,5.25,20,20
37,Air India,Kolkata,Banglore,0,6245,5,18,14,15,2.5,16,45
38,Jet Airways,Banglore,New Delhi,1,19225,6,3,7,0,6.25,13,15
39,Jet Airways,Delhi,Cochin,1,14924,3,6,7,5,11.916666666666666,19,0
40,Multiple carriers,Delhi,Cochin,1,9646,5,21,7,5,11.083333333333334,18,10
41,Air India,Banglore,New Delhi,1,8714,3,15,6,45,8.5,15,15
42,Jet Airways,Delhi,Cochin,1,12373,5,18,20,55,22.083333333333332,19,0
43,Air Asia,Banglore,Delhi,0,3383,6,5,11,10,2.75,13,55
44,Multiple carriers,Delhi,Cochin,1,13062,3,21,9,0,12.0,21,0
45,SpiceJet,Banglore,New Delhi,0,3527,3,24,5,45,2.8333333333333335,8,35
46,IndiGo,Banglore,Delhi,0,3943,5,27,4,0,2.8333333333333335,6,50
47,Air India,Chennai,Kolkata,0,4667,3,5,11,40,2.25,13,55
48,Air India,Kolkata,Banglore,1,6117,5,15,19,0,16.083333333333332,11,5
49,Jet Airways,Delhi,Cochin,2,11150,6,27,23,5,19.916666666666668,19,0
50,Jet Airways,Delhi,Cochin,0,7202,9,3,11,0,3.25,14,15
51,Jet Airways,Kolkata,Banglore,1,12121,1,5,9,35,25.333333333333332,10,55
52,IndiGo,Banglore,New Delhi,0,4377,3,24,22,20,2.8333333333333335,1,10
53,IndiGo,Banglore,Delhi,0,3943,6,18,21,15,3.0,0,15
54,Air Asia,Banglore,Delhi,0,4483,3,4,23,55,2.8333333333333335,2,45
55,Jet Airways,Kolkata,Banglore,1,14231,3,24,19,45,16.25,12,0
56,Air India,Banglore,New Delhi,2,17345,1,3,8,50,15.083333333333334,23,55
57,Vistara,Chennai,Kolkata,0,7414,6,3,7,5,2.25,9,20
